date,deaths,injuries,severe,reported,death_0_1_month,death_2_month_2_years,death_3_11_years,death_12_17_years,death_18_64_years,death_65_85_years,death_more_than_85_years,death_years_not_specified,death_3_12_years,total_deaths,total_reported,total_injuries,total_severe,total_death_0_1_month,total_death_2_month_2_years,total_death_3_11_years,total_death_12_17_years,total_death_18_64_years,total_death_65_85_years,total_death_more_than_85_years,total_death_years_not_specified
2021-01-01,1,1245,0,335,0,0,0,0,0,1,0,0,0,1,335,1245,0,0,0,0,0,0,1,0,0
2021-01-02,0,1103,0,320,0,0,0,0,0,0,0,0,0,1,655,2348,0,0,0,0,0,0,1,0,0
2021-01-03,2,1059,0,281,0,0,0,0,0,1,1,0,0,3,936,3407,0,0,0,0,0,0,2,1,0
2021-01-04,4,2954,0,839,0,0,0,0,2,0,2,0,0,7,1775,6361,0,0,0,0,0,2,2,3,0
2021-01-05,6,3552,0,999,0,0,0,0,1,2,3,0,0,13,2774,9913,0,0,0,0,0,3,4,6,0
2021-01-06,4,4426,0,1237,0,0,0,0,1,1,2,0,0,17,4011,14339,0,0,0,0,0,4,5,8,0
2021-01-07,5,6301,0,1742,0,0,0,0,0,3,2,0,0,22,5753,20640,0,0,0,0,0,4,8,10,0
2021-01-08,7,5451,0,1485,0,0,0,0,3,1,3,0,0,29,7238,26091,0,0,0,0,0,7,9,13,0
2021-01-09,1,2165,0,585,0,0,0,0,1,0,0,0,0,30,7823,28256,0,0,0,0,0,8,9,13,0
2021-01-10,0,1743,0,475,0,0,0,0,0,0,0,0,0,30,8298,29999,0,0,0,0,0,8,9,13,0
2021-01-11,9,4307,0,1235,0,0,0,0,2,4,3,0,0,39,9533,34306,0,0,0,0,0,10,13,16,0
2021-01-12,7,4138,0,1180,0,0,0,0,3,1,3,0,0,46,10713,38444,0,0,0,0,0,13,14,19,0
2021-01-13,7,5346,0,1249,0,0,0,0,2,4,1,0,0,53,11962,43790,0,0,0,0,0,15,18,20,0
2021-01-14,4,6565,0,1313,0,0,0,0,0,3,1,0,0,57,13275,50355,0,0,0,0,0,15,21,21,0
2021-01-15,0,1252,0,283,0,0,0,0,0,0,0,0,0,57,13558,51607,0,0,0,0,0,15,21,21,0
2021-01-16,4,2054,0,580,0,0,0,0,3,1,0,0,0,61,14138,53661,0,0,0,0,0,18,22,21,0
2021-01-17,2,2044,0,607,0,0,0,0,1,1,0,0,0,63,14745,55705,0,0,0,0,0,19,23,21,0
2021-01-18,6,4130,0,1182,0,0,0,0,1,4,1,0,0,69,15927,59835,0,0,0,0,0,20,27,22,0
2021-01-19,6,4446,0,1321,0,0,0,0,0,5,1,0,0,75,17248,64281,0,0,0,0,0,20,32,23,0
2021-01-20,13,4620,0,1365,0,0,0,0,1,9,3,0,0,88,18613,68901,0,0,0,0,0,21,41,26,0
2021-01-21,11,5851,0,1674,0,0,0,0,3,5,3,0,0,99,20287,74752,0,0,0,0,0,24,46,29,0
2021-01-22,11,6781,0,1980,0,0,0,0,4,6,1,0,0,110,22267,81533,0,0,0,0,0,28,52,30,0
2021-01-23,2,3438,0,712,0,0,0,0,0,2,0,0,0,112,22979,84971,0,0,0,0,0,28,54,30,0
2021-01-24,5,3450,0,690,0,0,0,0,1,2,2,0,0,117,23669,88421,0,0,0,0,0,29,56,32,0
2021-01-25,15,9730,0,1946,0,0,0,0,1,9,4,0,0,132,25615,98151,0,0,0,0,0,30,65,36,0
2021-01-26,18,8085,0,1617,0,0,0,0,4,8,6,0,0,150,27232,106236,0,0,0,0,0,34,73,42,0
2021-01-27,16,10340,0,2068,0,0,0,0,3,9,4,0,0,166,29300,116576,0,0,0,0,0,37,82,46,0
2021-01-28,6,5936,0,1405,0,0,0,0,1,3,2,0,0,172,30705,122512,0,0,0,0,0,38,85,48,0
2021-01-29,10,6161,0,1716,0,0,0,0,1,3,5,0,0,182,32421,128673,0,0,0,0,0,39,88,53,0
2021-01-30,4,2955,0,806,0,0,0,0,0,1,2,0,0,186,33227,131628,0,0,0,0,0,39,89,55,0
2021-01-31,1,2893,0,794,0,0,0,0,0,1,0,0,0,187,34021,134521,0,0,0,0,0,39,90,55,0
2021-02-01,20,5682,0,1484,0,0,0,0,3,11,6,0,0,207,35505,140203,0,0,0,0,0,42,101,61,0
2021-02-02,12,6625,0,1325,0,0,0,0,3,5,4,0,0,219,36830,146828,0,0,0,0,0,45,106,65,0
2021-02-03,12,6870,0,1374,0,0,0,0,1,6,5,0,0,231,38204,153698,0,0,0,0,0,46,112,70,0
2021-02-04,10,8310,0,1662,0,0,0,0,1,3,4,0,0,241,39866,162008,0,0,0,0,0,47,115,74,0
2021-02-05,23,8545,0,1709,0,0,0,0,3,11,7,0,0,264,41575,170553,0,0,0,0,0,50,126,81,0
2021-02-06,1,5200,0,1040,0,0,0,0,0,0,1,0,0,265,42615,175753,0,0,0,0,0,50,126,82,0
2021-02-07,3,4390,0,878,0,0,0,0,1,1,1,0,0,268,43493,180143,0,0,0,0,0,51,127,83,0
2021-02-08,23,8090,0,1618,0,0,0,0,3,16,4,0,0,291,45111,188233,0,0,0,0,0,54,143,87,0
2021-02-09,20,7105,0,1421,0,0,0,0,2,7,10,0,0,311,46532,195338,0,0,0,0,0,56,150,97,0
2021-02-10,17,4509,0,1206,0,0,0,0,1,11,5,0,0,328,47738,199847,0,0,0,0,0,57,161,102,0
2021-02-11,21,6998,0,1526,0,0,0,0,2,12,6,0,0,349,49264,206845,0,0,0,0,0,59,173,108,0
2021-02-12,19,7015,0,1403,0,0,0,0,2,8,9,0,0,368,50667,213860,0,0,0,0,0,61,181,117,0
2021-02-13,5,4420,0,884,0,0,0,0,0,3,2,0,0,373,51551,218280,0,0,0,0,0,61,184,119,0
2021-02-14,7,3785,0,757,0,0,0,0,0,7,0,0,0,380,52308,222065,0,0,0,0,0,61,191,119,0
2021-02-15,21,5690,0,1138,0,0,0,0,0,10,8,0,0,401,53446,227755,0,0,0,0,0,61,201,127,0
2021-02-16,11,5920,0,1184,0,0,0,0,3,5,2,0,0,412,54630,233675,0,0,0,0,0,64,206,129,0
2021-02-17,23,5315,0,1063,0,0,0,0,3,13,4,0,0,435,55693,238990,0,0,0,0,0,67,219,133,0
2021-02-18,16,6130,0,1226,0,0,0,0,3,6,5,0,0,451,56919,245120,0,0,0,0,0,70,225,138,0
2021-02-19,13,6005,0,1201,0,0,0,0,2,5,6,0,0,464,58120,251125,0,0,0,0,0,72,230,144,0
2021-02-20,4,3925,0,785,0,0,0,0,2,1,1,0,0,468,58905,255050,0,0,0,0,0,74,231,145,0
2021-02-21,2,3460,0,692,0,0,0,0,1,1,0,0,0,470,59597,258510,0,0,0,0,0,75,232,145,0
2021-02-22,18,6965,0,1393,0,0,0,0,2,11,5,0,0,488,60990,265475,0,0,0,0,0,77,243,150,0
2021-02-23,21,5830,0,1166,0,0,0,0,2,9,8,0,0,509,62156,271305,0,0,0,0,0,79,252,158,0
2021-02-24,23,5600,0,1120,0,0,0,0,5,13,5,0,0,532,63276,276905,0,0,0,0,0,84,265,163,0
2021-02-25,24,6295,0,1259,0,0,0,0,3,11,10,0,0,556,64535,283200,0,0,0,0,0,87,276,173,0
2021-02-26,19,5380,0,1076,0,0,0,0,1,13,3,0,0,575,65611,288580,0,0,0,0,0,88,289,176,0
2021-02-27,5,3650,0,730,0,0,0,0,0,2,3,0,0,580,66341,292230,0,0,0,0,0,88,291,179,0
2021-02-28,6,3610,0,722,0,0,0,0,1,3,2,0,0,586,67063,295840,0,0,0,0,0,89,294,181,0
2021-03-01,19,6695,0,1339,0,0,0,0,2,11,5,0,0,605,68402,302535,0,0,0,0,0,91,305,186,0
2021-03-02,21,5745,0,1149,0,0,0,0,2,10,7,0,0,626,69551,308280,0,0,0,0,0,93,315,193,0
2021-03-03,25,5600,0,1120,0,0,0,0,3,18,4,0,0,651,70671,313880,0,0,0,0,0,96,333,197,0
2021-03-04,29,6630,0,1326,0,0,0,0,2,7,5,0,0,680,71997,320510,0,0,0,0,0,98,340,202,0
2021-03-05,34,6790,0,1358,0,0,0,0,2,16,15,0,0,714,73355,327300,0,0,0,0,0,100,356,217,0
2021-03-06,3,4060,0,812,0,0,0,0,1,2,0,0,0,717,74167,331360,0,0,0,0,0,101,358,217,0
2021-03-07,9,4010,0,802,0,0,0,0,3,4,2,0,0,726,74969,335370,0,0,0,0,0,104,362,219,0
2021-03-08,20,7695,0,1539,0,0,0,0,4,8,7,0,0,746,76508,343065,0,0,0,0,0,108,370,226,0
2021-03-09,17,6390,0,1278,0,0,0,0,6,6,3,0,0,763,77786,349455,0,0,0,0,0,114,376,229,0
2021-03-10,21,6810,0,1362,0,0,0,0,7,8,6,0,0,784,79148,356265,0,0,0,0,0,121,384,235,0
2021-03-11,30,7100,0,1420,0,0,0,0,1,22,6,0,0,814,80568,363365,0,0,0,0,0,122,406,241,0
2021-03-12,16,4500,0,900,0,0,0,0,3,9,4,0,0,830,81468,367865,0,0,0,0,0,125,415,245,0
2021-03-13,6,4665,0,933,0,0,0,0,1,4,1,0,0,836,82401,372530,0,0,0,0,0,126,419,246,0
2021-03-14,9,4190,0,838,0,0,0,0,2,6,1,0,0,845,83239,376720,0,0,0,0,0,128,425,247,0
2021-03-15,17,7460,0,1492,0,0,0,0,0,15,2,0,0,862,84731,384180,0,0,0,0,0,128,440,249,0
2021-03-16,34,6975,0,1395,0,0,0,0,7,20,6,0,0,896,86126,391155,0,0,0,0,0,135,460,255,0
2021-03-17,26,6825,0,1365,0,0,0,0,2,14,9,0,0,922,87491,397980,0,0,0,0,0,137,474,264,0
2021-03-18,61,6425,0,1285,0,0,0,0,7,28,25,0,0,983,88776,404405,0,0,0,0,0,144,502,289,0
2021-03-19,34,7300,0,1460,0,0,0,0,5,16,8,0,0,1017,90236,411705,0,0,0,0,0,149,518,297,0
2021-03-20,0,4280,0,856,0,0,0,0,0,0,0,0,0,1017,91092,415985,0,0,0,0,0,149,518,297,0
2021-03-21,5,3415,0,683,0,0,0,0,0,5,0,0,0,1022,91775,419400,0,0,0,0,0,149,523,297,0
2021-03-22,18,6525,0,1305,0,0,0,0,4,9,4,0,0,1040,93080,425925,0,0,0,0,0,153,532,301,0
2021-03-23,33,5960,0,1192,0,0,0,0,10,17,4,0,0,1073,94272,431885,0,0,0,0,0,163,549,305,0
2021-03-24,21,5700,0,1140,0,0,0,0,5,11,4,0,0,1094,95412,437585,0,0,0,0,0,168,560,309,0
2021-03-25,16,5390,0,1078,0,0,0,0,4,8,3,0,0,1110,96490,442975,0,0,0,0,0,172,568,312,0
2021-03-26,16,7055,0,1411,0,0,0,0,4,9,3,0,0,1126,97901,450030,0,0,0,0,0,176,577,315,0
2021-03-27,5,4110,0,822,0,0,0,0,0,3,2,0,0,1131,98723,454140,0,0,0,0,0,176,580,317,0
2021-03-28,4,4090,0,818,0,0,0,0,2,1,1,0,0,1135,99541,458230,0,0,0,0,0,178,581,318,0
2021-03-29,26,7130,0,1426,0,0,0,0,5,10,11,0,0,1161,100967,465360,0,0,0,0,0,183,591,329,0
2021-03-30,23,6275,0,1255,0,0,0,0,2,17,4,0,0,1184,102222,471635,0,0,0,0,0,185,608,333,0
2021-03-31,33,7575,0,1515,0,0,0,0,6,16,10,0,0,1217,103737,479210,0,0,0,0,0,191,624,343,0
2021-04-01,30,8665,0,1733,0,0,0,0,4,12,11,0,0,1247,105470,487875,0,0,0,0,0,195,636,354,0
2021-04-02,18,7890,0,1578,0,0,0,0,5,11,2,0,0,1265,107048,495765,0,0,0,0,0,200,647,356,0
2021-04-03,7,4855,0,971,0,0,0,0,1,5,1,0,0,1272,108019,500620,0,0,0,0,0,201,652,357,0
2021-04-04,1,2380,0,476,0,0,0,0,0,1,0,0,0,1273,108495,503000,0,0,0,0,0,201,653,357,0
2021-04-05,6,3750,0,750,0,0,0,0,0,5,0,0,0,1279,109245,506750,0,0,0,0,0,201,658,357,0
2021-04-06,13,6215,0,1243,0,0,0,0,4,6,2,0,0,1292,110488,512965,0,0,0,0,0,205,664,359,0
2021-04-07,18,7650,0,1530,0,0,0,0,11,5,2,0,0,1310,112018,520615,0,0,0,0,0,216,669,361,0
2021-04-08,12,7600,0,1520,0,0,0,0,1,10,1,0,0,1322,113538,528215,0,0,0,0,0,217,679,362,0
2021-04-09,21,7430,0,1486,0,0,0,1,2,13,5,0,0,1343,115024,535645,0,0,0,0,1,219,692,367,0
2021-04-10,5,5205,0,1041,0,0,0,0,0,4,1,0,0,1348,116065,540850,0,0,0,0,1,219,696,368,0
2021-04-11,5,4435,0,887,0,0,0,0,2,2,0,0,0,1353,116952,545285,0,0,0,0,1,221,698,368,0
2021-04-12,27,6810,0,1362,0,0,0,0,7,10,9,0,0,1380,118314,552095,0,0,0,0,1,228,708,377,0
2021-04-13,18,4725,0,945,0,0,0,0,4,7,7,0,0,1398,119259,556820,0,0,0,0,1,232,715,384,0
2021-04-14,38,7870,0,1574,0,0,0,0,6,24,8,0,0,1436,120833,564690,0,0,0,0,1,238,739,392,0
2021-04-15,32,7660,0,1532,0,0,0,0,6,18,8,0,0,1468,122365,572350,0,0,0,0,1,244,757,400,0
2021-04-16,33,8535,0,1707,0,0,0,0,10,15,4,0,0,1501,124072,580885,0,0,0,0,1,254,772,404,0
2021-04-17,20,4985,0,997,0,0,0,0,3,15,2,0,0,1521,125069,585870,0,0,0,0,1,257,787,406,0
2021-04-18,4,4195,0,839,0,0,0,0,0,4,0,0,0,1525,125908,590065,0,0,0,0,1,257,791,406,0
2021-04-19,29,6675,0,1335,0,0,0,0,6,18,5,0,0,1554,127243,596740,0,0,0,0,1,263,809,411,0
2021-04-20,19,3680,0,736,0,0,0,0,4,11,4,0,0,1573,127979,600420,0,0,0,0,1,267,820,415,0
2021-04-21,3,2615,0,523,0,0,0,0,2,0,1,0,0,1576,128502,603035,0,0,0,0,1,269,820,416,0
2021-04-22,40,7215,0,1443,0,0,0,0,10,16,14,0,0,1616,129945,610250,0,0,0,0,1,279,836,430,0
2021-04-23,23,8095,0,1619,0,0,0,0,8,10,2,0,0,1639,131564,618345,0,0,0,0,1,287,846,432,0
2021-04-24,5,4490,0,898,0,0,0,0,0,2,0,0,0,1644,132462,622835,0,0,0,0,1,287,848,432,0
2021-04-25,6,3775,0,755,0,0,0,0,4,2,0,0,0,1650,133217,626610,0,0,0,0,1,291,850,432,0
2021-04-26,12,5905,0,1181,0,0,0,0,4,6,2,0,0,1662,134398,632515,0,0,0,0,1,295,856,434,0
2021-04-27,18,6675,0,1335,0,1,0,0,6,10,1,0,0,1680,135733,639190,0,0,1,0,1,301,866,435,0
2021-04-28,25,5660,0,1132,0,0,0,0,10,11,4,0,0,1705,136865,644850,0,0,1,0,1,311,877,439,0
2021-04-30,1,1320,0,264,0,0,0,0,0,1,0,0,0,1706,137129,646170,0,0,1,0,1,311,878,439,0
2021-05-01,5,3790,0,758,0,0,0,0,1,3,0,0,0,1711,137887,649960,0,0,1,0,1,312,881,439,0
2021-05-02,2,2980,0,596,0,0,0,0,2,0,0,0,0,1713,138483,652940,0,0,1,0,1,314,881,439,0
2021-05-03,11,5095,0,1019,0,0,0,0,5,4,2,0,0,1724,139502,658035,0,0,1,0,1,319,885,441,0
2021-05-04,19,4810,0,962,0,0,0,0,2,14,1,0,0,1743,140464,662845,0,0,1,0,1,321,899,442,0
2021-05-05,18,4845,0,969,0,0,0,0,6,8,3,0,0,1761,141433,667690,0,0,1,0,1,327,907,445,0
2021-05-06,9,5105,0,1021,0,0,0,0,2,5,1,0,0,1770,142454,672795,0,0,1,0,1,329,912,446,0
2021-05-07,16,4710,0,942,0,0,0,0,5,9,1,0,0,1786,143396,677505,0,0,1,0,1,334,921,447,0
2021-05-08,3,2935,0,587,0,0,0,0,0,1,2,0,0,1789,143983,680440,0,0,1,0,1,334,922,449,0
2021-05-09,1,2110,0,422,0,0,0,0,1,0,0,0,0,1790,144405,682550,0,0,1,0,1,335,922,449,0
2021-05-10,13,4370,0,874,0,0,0,0,6,6,1,0,0,1803,145279,686920,0,0,1,0,1,341,928,450,0
2021-05-11,1,255,0,51,0,0,0,0,0,0,0,0,0,1804,145330,687175,0,0,1,0,1,341,928,450,0
2021-05-13,9,2050,0,410,0,0,0,0,3,5,1,0,0,1813,145740,689225,0,0,1,0,1,344,933,451,0
2021-05-14,12,3890,0,778,0,0,0,0,2,6,4,0,0,1825,146518,693115,0,0,1,0,1,346,939,455,0
2021-05-15,4,2200,0,440,0,0,0,0,2,1,1,0,0,1829,146958,695315,0,0,1,0,1,348,940,456,0
2021-05-16,4,2065,0,413,0,0,0,0,3,1,0,0,0,1833,147371,697380,0,0,1,0,1,351,941,456,0
2021-05-17,16,3865,0,773,0,0,0,0,4,11,1,0,0,1849,148144,701245,0,0,1,0,1,355,952,457,0
2021-05-18,11,3620,0,724,0,0,0,0,5,6,0,0,0,1860,148868,704865,0,0,1,0,1,360,958,457,0
2021-05-19,14,3475,0,695,0,0,0,0,1,8,5,0,0,1874,149563,708340,0,0,1,0,1,361,966,462,0
2021-05-20,17,3820,0,764,0,0,0,0,4,11,0,0,0,1891,150327,712160,0,0,1,0,1,365,977,462,0
2021-05-21,17,3395,0,679,0,0,0,0,6,11,0,0,0,1908,151006,715555,0,0,1,0,1,371,988,462,0
2021-05-22,4,1995,0,399,0,0,0,0,0,3,1,0,0,1912,151405,717550,0,0,1,0,1,371,991,463,0
2021-05-23,0,1720,0,344,0,0,0,0,0,0,0,0,0,1912,151749,719270,0,0,1,0,1,371,991,463,0
2021-05-24,8,3630,0,726,0,0,0,0,1,4,3,0,0,1920,152475,722900,0,0,1,0,1,372,995,466,0
2021-05-28,1,590,0,118,0,0,0,0,0,1,0,0,0,1921,152593,723490,0,0,1,0,1,372,996,466,0
2021-05-29,3,1630,0,326,0,0,0,0,1,0,2,0,0,1924,152919,725120,0,0,1,0,1,373,996,468,0
2021-05-30,4,1300,0,260,0,0,0,0,1,2,1,0,0,1928,153179,726420,0,0,1,0,1,374,998,469,0
2021-05-31,7,1105,0,221,0,0,0,0,2,4,1,0,0,1935,153400,727525,0,0,1,0,1,376,1002,470,0
2021-06-01,13,2825,0,565,0,0,0,0,7,5,0,0,0,1948,153965,730350,0,0,1,0,1,383,1007,470,0
2021-06-02,12,3070,0,614,0,0,0,0,6,2,1,0,0,1960,154579,733420,0,0,1,0,1,389,1009,471,0
2021-06-03,17,3225,0,645,0,0,0,0,6,8,2,0,0,1977,155224,736645,0,0,1,0,1,395,1017,473,0
2021-06-04,8,2665,0,533,0,0,0,0,2,2,1,0,0,1985,155757,739310,0,0,1,0,1,397,1019,474,0
2021-06-06,3,935,0,187,0,0,0,0,1,1,1,0,0,1988,155944,740245,0,0,1,0,1,398,1020,475,0
2021-06-07,6,2460,0,492,0,0,0,0,2,2,2,0,0,1994,156436,742705,0,0,1,0,1,400,1022,477,0
2021-06-08,9,2685,0,537,0,0,0,0,1,7,1,0,0,2003,156973,745390,0,0,1,0,1,401,1029,478,0
2021-06-09,6,2640,0,528,0,0,0,0,2,4,0,0,0,2009,157501,748030,0,0,1,0,1,403,1033,478,0
2021-06-10,4,730,0,146,0,0,0,0,1,2,1,0,0,2013,157647,748760,0,0,1,0,1,404,1035,479,0
2021-06-17,7,810,0,162,0,0,0,0,6,1,0,0,0,2020,157809,749570,0,0,1,0,1,410,1036,479,0
2021-06-18,9,1950,0,390,0,0,0,0,4,5,0,0,0,2029,158199,751520,0,0,1,0,1,414,1041,479,0
2021-06-19,2,850,0,170,0,0,0,0,0,2,0,0,0,2031,158369,752370,0,0,1,0,1,414,1043,479,0
2021-06-20,1,590,0,118,0,0,0,0,1,0,0,0,0,2032,158487,752960,0,0,1,0,1,415,1043,479,0
2021-06-21,17,2845,0,569,0,0,0,0,4,9,4,0,0,2049,159056,755805,0,0,1,0,1,419,1052,483,0
2021-06-22,13,2250,0,450,0,0,0,0,4,3,5,0,0,2062,159506,758055,0,0,1,0,1,423,1055,488,0
2021-06-23,13,2645,0,529,0,0,0,0,3,5,3,0,0,2075,160035,760700,0,0,1,0,1,426,1060,491,0
2021-06-24,16,2430,0,486,0,0,0,0,3,8,3,0,0,2091,160521,763130,0,0,1,0,1,429,1068,494,0
2021-06-25,19,2090,0,418,0,0,0,0,7,9,3,0,0,2110,160939,765220,0,0,1,0,1,436,1077,497,0
2021-06-26,5,1385,0,277,0,0,0,0,2,2,1,0,0,2115,161216,766605,0,0,1,0,1,438,1079,498,0
2021-06-27,1,715,0,143,0,0,0,0,1,0,0,0,0,2116,161359,767320,0,0,1,0,1,439,1079,498,0
2021-06-28,19,1760,0,352,0,0,0,0,3,12,4,0,0,2135,161711,769080,0,0,1,0,1,442,1091,502,0
2021-06-29,10,1385,0,277,0,0,0,0,0,8,1,0,0,2145,161988,770465,0,0,1,0,1,442,1099,503,0
2021-07-13,0,250,0,50,0,0,0,0,0,0,0,0,0,2145,162038,770715,0,0,1,0,1,442,1099,503,0
2021-07-14,8,1775,0,355,0,0,0,0,2,3,3,0,0,2153,162393,772490,0,0,1,0,1,444,1102,506,0
2021-07-15,3,1280,0,256,0,0,0,0,0,3,0,0,0,2156,162649,773770,0,0,1,0,1,444,1105,506,0
2021-07-16,8,1475,0,295,0,0,0,0,1,5,2,0,0,2164,162944,775245,0,0,1,0,1,445,1110,508,0
2021-07-17,0,680,0,136,0,0,0,0,0,0,0,0,0,2164,163080,775925,0,0,1,0,1,445,1110,508,0
2021-07-18,12,1240,0,248,0,0,0,0,4,2,3,0,0,2176,163328,777165,0,0,1,0,1,449,1112,511,0
2021-07-19,13,1865,0,373,0,0,0,0,5,3,5,0,0,2189,163701,779030,0,0,1,0,1,454,1115,516,0
2021-07-20,8,1975,0,395,0,0,0,0,2,5,1,0,0,2197,164096,781005,0,0,1,0,1,456,1120,517,0
2021-07-21,11,1720,0,344,0,0,0,0,4,4,2,0,0,2208,164440,782725,0,0,1,0,1,460,1124,519,0
2021-07-22,6,2015,0,403,0,0,0,0,2,1,2,0,0,2214,164843,784740,0,0,1,0,1,462,1125,521,0
2021-07-23,5,2015,0,403,0,0,0,0,1,4,0,0,0,2219,165246,786755,0,0,1,0,1,463,1129,521,0
2021-07-24,2,135,0,27,0,0,0,0,1,1,0,0,0,2221,165273,786890,0,0,1,0,1,464,1130,521,0
2021-08-09,5,5855,0,1171,0,0,0,0,2,3,0,0,0,2226,166444,792745,0,0,1,0,1,466,1133,521,0
2021-08-10,3,5260,0,1052,0,0,0,0,1,1,1,0,0,2229,167496,798005,0,0,1,0,1,467,1134,522,0
2021-08-11,9,14315,0,2863,0,0,0,0,1,4,4,0,0,2238,170359,812320,0,0,1,0,1,468,1138,526,0
2021-08-12,14,10555,0,2111,0,0,0,0,2,7,5,0,0,2252,172470,822875,0,0,1,0,1,470,1145,531,0
2021-08-13,0,1470,0,294,0,0,0,0,0,0,0,0,0,2252,172764,824345,0,0,1,0,1,470,1145,531,0
2021-08-16,9,6455,0,1291,0,0,0,0,4,4,1,0,0,2261,174055,830800,0,0,1,0,1,474,1149,532,0
2021-08-17,6,2675,0,535,0,0,0,0,0,3,3,0,0,2267,174590,833475,0,0,1,0,1,474,1152,535,0
2021-08-18,7,4955,0,991,0,0,0,0,2,4,1,0,0,2274,175581,838430,0,0,1,0,1,476,1156,536,0
2021-08-19,7,365,0,73,0,0,0,0,1,2,4,0,0,2281,175654,838795,0,0,1,0,1,477,1158,540,0
2021-08-20,0,25,0,5,0,0,0,0,0,0,0,0,0,2281,175659,838820,0,0,1,0,1,477,1158,540,0