date,deaths,death_0_1_month,death_2_month_2_years,death_3_11_years,death_12_17_years,death_18_64_years,death_65_85_years,death_more_than_85_years,reported,severe,injuries,death_3_12_years,total_deaths,total_reported,total_injuries,total_severe,total_death_0_1_month,total_death_2_month_2_years,total_death_3_11_years,total_death_12_17_years,total_death_18_64_years,total_death_65_85_years,total_death_more_than_85_years
2021-01-11,0,0,0,0,0,0,0,0,6,7,26,0,0,6,26,7,0,0,0,0,0,0,0
2021-01-12,0,0,0,0,0,0,0,0,1,2,9,,0,7,35,9,0,0,0,0,0,0,0
2021-01-13,0,0,0,0,0,0,0,0,6,8,14,0,0,13,49,17,0,0,0,0,0,0,0
2021-01-14,0,0,0,0,0,0,0,0,8,12,35,0,0,21,84,29,0,0,0,0,0,0,0
2021-01-15,0,0,0,0,0,0,0,0,5,16,25,0,0,26,109,45,0,0,0,0,0,0,0
2021-01-17,0,0,0,0,0,0,0,0,1,0,6,,0,27,115,45,0,0,0,0,0,0,0
2021-01-18,0,0,0,0,0,0,0,0,5,5,31,0,0,32,146,50,0,0,0,0,0,0,0
2021-01-19,0,0,0,0,0,0,0,0,16,18,50,0,0,48,196,68,0,0,0,0,0,0,0
2021-01-20,0,0,0,0,0,0,0,0,6,6,27,0,0,54,223,74,0,0,0,0,0,0,0
2021-01-21,0,0,0,0,0,0,0,0,28,22,100,0,0,82,323,96,0,0,0,0,0,0,0
2021-01-22,0,0,0,0,0,0,0,0,49,23,177,0,0,131,500,119,0,0,0,0,0,0,0
2021-01-23,1,0,0,0,0,0,0,1,21,17,87,0,1,152,587,136,0,0,0,0,0,0,1
2021-01-24,1,0,0,0,0,0,1,0,3,10,13,0,2,155,600,146,0,0,0,0,0,1,1
2021-01-25,0,0,0,0,0,0,0,0,18,20,63,0,2,173,663,166,0,0,0,0,0,1,1
2021-01-26,0,0,0,0,0,0,0,0,50,45,166,0,2,223,829,211,0,0,0,0,0,1,1
2021-01-27,0,0,0,0,0,0,0,0,57,23,182,0,2,280,1011,234,0,0,0,0,0,1,1
2021-01-28,2,0,0,0,0,0,0,2,63,30,204,0,4,343,1215,264,0,0,0,0,0,1,3
2021-01-29,1,0,0,0,0,0,0,1,65,57,192,0,5,408,1407,321,0,0,0,0,0,1,4
2021-01-30,0,0,0,0,0,0,0,0,15,8,50,0,5,423,1457,329,0,0,0,0,0,1,4
2021-01-31,0,0,0,0,0,0,0,0,4,1,8,0,5,427,1465,330,0,0,0,0,0,1,4
2021-02-01,1,0,0,0,0,0,1,0,60,33,204,0,6,487,1669,363,0,0,0,0,0,2,4
2021-02-02,8,0,0,0,0,0,7,1,85,110,383,0,14,572,2052,473,0,0,0,0,0,9,5
2021-02-03,0,0,0,0,0,0,0,0,51,49,190,0,14,623,2242,522,0,0,0,0,0,9,5
2021-02-04,2,0,0,0,0,0,0,2,81,57,318,0,16,704,2560,579,0,0,0,0,0,9,7
2021-02-05,4,0,0,0,0,0,0,3,56,54,233,0,20,760,2793,633,0,0,0,0,0,9,10
2021-02-06,0,0,0,0,0,0,0,0,40,13,180,0,20,800,2973,646,0,0,0,0,0,9,10
2021-02-07,0,0,0,0,0,0,0,0,19,1,78,0,20,819,3051,647,0,0,0,0,0,9,10
2021-02-08,2,0,0,0,0,1,1,0,63,48,270,0,22,882,3321,695,0,0,0,0,1,10,10
2021-02-09,11,0,0,0,0,6,4,1,80,115,332,0,33,962,3653,810,0,0,0,0,7,14,11
2021-02-10,48,0,0,0,0,15,14,17,135,230,437,0,81,1097,4090,1040,0,0,0,0,22,28,28
2021-02-11,73,0,0,0,0,4,27,42,168,727,813,0,154,1265,4903,1767,0,0,0,0,26,55,70
2021-02-12,9,0,0,0,0,0,3,5,135,209,587,0,163,1400,5490,1976,0,0,0,0,26,58,75
2021-02-13,0,0,0,0,0,0,0,0,64,1,205,0,163,1464,5695,1977,0,0,0,0,26,58,75
2021-02-14,0,0,0,0,0,0,0,0,24,25,122,0,163,1488,5817,2002,0,0,0,0,26,58,75
2021-02-15,9,0,0,0,0,5,0,4,78,203,362,0,172,1566,6179,2205,0,0,0,0,31,58,79
2021-02-16,91,0,0,0,0,17,51,23,220,609,869,0,263,1786,7048,2814,0,0,0,0,48,109,102
2021-02-17,27,0,0,0,0,0,17,9,153,396,704,0,290,1939,7752,3210,0,0,0,0,48,126,111
2021-02-18,17,0,0,0,0,11,5,0,106,127,403,0,307,2045,8155,3337,0,0,0,0,59,131,111
2021-02-19,10,0,0,0,0,0,0,10,151,169,579,0,317,2196,8734,3506,0,0,0,0,59,131,121
2021-02-20,4,0,0,0,0,0,0,4,43,37,167,0,321,2239,8901,3543,0,0,0,0,59,131,125
2021-02-21,0,0,0,0,0,0,0,0,11,3,47,0,321,2250,8948,3546,0,0,0,0,59,131,125
2021-02-22,30,0,0,0,0,2,16,10,112,190,428,0,351,2362,9376,3736,0,0,0,0,61,147,135
2021-02-23,49,0,0,0,0,7,22,20,146,397,551,0,400,2508,9927,4133,0,0,0,0,68,169,155
2021-02-24,124,0,0,0,0,7,79,38,238,700,879,0,524,2746,10806,4833,0,0,0,0,75,248,193
2021-02-25,20,0,0,0,0,0,17,3,117,251,467,0,544,2863,11273,5084,0,0,0,0,75,265,196
2021-02-26,18,0,0,0,0,0,3,15,57,128,271,0,562,2920,11544,5212,0,0,0,0,75,268,211
2021-02-27,5,0,0,0,0,4,1,0,104,87,306,0,567,3024,11850,5299,0,0,0,0,79,269,211
2021-02-28,7,0,0,0,0,0,0,6,68,44,283,0,574,3092,12133,5343,0,0,0,0,79,269,217
2021-03-01,30,0,0,0,0,5,9,16,98,197,403,0,604,3190,12536,5540,0,0,0,0,84,278,233
2021-03-02,80,0,0,0,0,7,48,25,179,454,651,0,684,3369,13187,5994,0,0,0,0,91,326,258
2021-03-03,119,0,0,0,0,26,39,50,238,746,931,0,803,3607,14118,6740,0,0,0,0,117,365,308
2021-03-04,57,0,0,0,0,4,26,27,182,468,676,0,860,3789,14794,7208,0,0,0,0,121,391,335
2021-03-05,72,0,0,0,0,14,36,22,328,559,1512,0,932,4117,16306,7767,0,0,0,0,135,427,357
2021-03-06,0,0,0,0,0,0,0,0,57,20,172,0,932,4174,16478,7787,0,0,0,0,135,427,357
2021-03-07,0,0,0,0,0,0,0,0,7,0,32,0,932,4181,16510,7787,0,0,0,0,135,427,357
2021-03-08,49,0,0,0,0,10,16,23,251,407,949,0,981,4432,17459,8194,0,0,0,0,145,443,380
2021-03-09,75,0,0,0,0,13,37,25,324,781,1165,0,1056,4756,18624,8975,0,0,0,0,158,480,405
2021-03-10,32,0,0,0,0,2,28,1,314,530,1185,0,1088,5070,19809,9505,0,0,0,0,160,508,406
2021-03-11,48,0,0,0,0,22,9,17,210,346,811,0,1136,5280,20620,9851,0,0,0,0,182,517,423
2021-03-12,15,0,0,0,0,0,9,5,201,535,812,0,1151,5481,21432,10386,0,0,0,0,182,526,428
2021-03-13,0,0,0,0,0,0,0,0,46,30,148,0,1151,5527,21580,10416,0,0,0,0,182,526,428
2021-03-14,0,0,0,0,0,0,0,0,13,8,46,0,1151,5540,21626,10424,0,0,0,0,182,526,428
2021-03-15,24,0,0,0,0,1,8,12,157,285,657,0,1175,5697,22283,10709,0,0,0,0,183,534,440
2021-03-16,17,0,0,0,0,1,8,8,170,198,569,0,1192,5867,22852,10907,0,0,0,0,184,542,448
2021-03-17,12,0,0,0,0,2,3,7,214,194,735,0,1204,6081,23587,11101,0,0,0,0,186,545,455
2021-03-18,20,0,0,0,0,1,7,11,169,208,656,0,1224,6250,24243,11309,0,0,0,0,187,552,466
2021-03-19,38,0,0,0,0,14,14,9,206,228,770,0,1262,6456,25013,11537,0,0,0,0,201,566,475
2021-03-20,0,0,0,0,0,0,0,0,177,50,1097,0,1262,6633,26110,11587,0,0,0,0,201,566,475
2021-03-21,0,0,0,0,0,0,0,0,111,0,709,0,1262,6744,26819,11587,0,0,0,0,201,566,475
2021-03-22,39,0,0,0,0,5,20,12,265,375,1249,0,1301,7009,28068,11962,0,0,0,0,206,586,487
2021-03-23,52,0,0,0,0,9,25,17,469,971,2052,0,1353,7478,30120,12933,0,0,0,0,215,611,504
2021-03-24,35,0,0,0,0,6,21,8,427,576,1851,0,1388,7905,31971,13509,0,0,0,0,221,632,512
2021-03-25,40,0,0,0,0,2,22,16,639,359,3328,0,1428,8544,35299,13868,0,0,0,0,223,654,528
2021-03-26,28,0,0,0,0,2,14,12,249,273,1285,0,1456,8793,36584,14141,0,0,0,0,225,668,540
2021-03-27,1,0,0,0,0,0,1,0,55,28,175,0,1457,8848,36759,14169,0,0,0,0,225,669,540
2021-03-28,0,0,0,0,0,0,0,0,124,15,638,0,1457,8972,37397,14184,0,0,0,0,225,669,540
2021-03-29,60,0,0,0,0,1,36,23,481,752,2080,0,1517,9453,39477,14936,0,0,0,0,226,705,563
2021-03-30,40,0,0,0,0,10,14,15,444,769,1867,0,1557,9897,41344,15705,0,0,0,0,236,719,578
2021-03-31,63,0,0,0,0,3,37,22,466,967,1939,0,1620,10363,43283,16672,0,0,0,0,239,756,600
2021-04-01,102,0,0,0,0,23,60,18,339,622,1327,0,1722,10702,44610,17294,0,0,0,0,262,816,618
2021-04-02,57,0,0,0,0,10,27,20,259,453,919,0,1779,10961,45529,17747,0,0,0,0,272,843,638
2021-04-03,0,0,0,0,0,0,0,0,97,42,219,0,1779,11058,45748,17789,0,0,0,0,272,843,638
2021-04-04,0,0,0,0,0,0,0,0,12,3,44,0,1779,11070,45792,17792,0,0,0,0,272,843,638
2021-04-05,67,0,0,0,0,12,31,24,319,858,1638,0,1846,11389,47430,18650,0,0,0,0,284,874,662
2021-04-06,117,0,0,0,0,36,52,27,406,726,1618,0,1963,11795,49048,19376,0,0,0,0,320,926,689
2021-04-07,58,0,0,0,0,8,29,21,424,594,1794,0,2021,12219,50842,19970,0,0,0,0,328,955,710
2021-04-08,134,0,0,0,0,6,102,26,382,761,1646,0,2155,12601,52488,20731,0,0,0,0,334,1057,736
2021-04-09,68,0,0,0,0,3,25,40,370,848,1618,0,2223,12971,54106,21579,0,0,0,0,337,1082,776
2021-04-10,2,0,0,0,0,1,0,1,76,28,276,0,2225,13047,54382,21607,0,0,0,0,338,1082,777
2021-04-11,1,0,0,0,0,0,0,1,21,1,141,0,2226,13068,54523,21608,0,0,0,0,338,1082,778
2021-04-12,8,0,0,0,0,1,6,1,172,148,540,0,2234,13240,55063,21756,0,0,0,0,339,1088,779
2021-04-13,90,0,0,0,0,8,49,21,596,1134,2447,0,2324,13836,57510,22890,0,0,0,0,347,1137,800
2021-04-14,52,0,0,0,0,11,18,23,391,596,1656,0,2376,14227,59166,23486,0,0,0,0,358,1155,823
2021-04-15,32,0,0,0,0,6,17,8,336,581,1379,0,2408,14563,60545,24067,0,0,0,0,364,1172,831
2021-04-16,26,0,0,0,0,0,20,6,317,372,1381,0,2434,14880,61926,24439,0,0,0,0,364,1192,837
2021-04-17,1,0,0,0,0,0,0,1,116,20,608,0,2435,14996,62534,24459,0,0,0,0,364,1192,838
2021-04-18,0,0,0,0,0,0,0,0,44,6,238,0,2435,15040,62772,24465,0,0,0,0,364,1192,838
2021-04-19,32,0,0,0,0,13,8,10,340,407,1282,0,2467,15380,64054,24872,0,0,0,0,377,1200,848
2021-04-20,28,0,0,0,0,6,8,11,621,589,2900,0,2495,16001,66954,25461,0,0,0,0,383,1208,859
2021-04-21,47,0,0,0,0,10,23,13,396,451,1414,0,2542,16397,68368,25912,0,0,0,0,393,1231,872
2021-04-22,132,0,0,0,0,23,81,28,361,483,1324,0,2674,16758,69692,26395,0,0,0,0,416,1312,900
2021-04-23,80,0,0,0,0,14,57,9,276,363,1093,0,2754,17034,70785,26758,0,0,0,0,430,1369,909
2021-04-24,3,0,0,0,0,0,0,3,111,82,549,0,2757,17145,71334,26840,0,0,0,0,430,1369,912
2021-04-25,1,0,0,0,0,0,1,0,80,19,455,0,2758,17225,71789,26859,0,0,0,0,430,1370,912
2021-04-26,58,0,0,0,0,4,10,43,381,517,1617,0,2816,17606,73406,27376,0,0,0,0,434,1380,955
2021-04-27,4,0,0,0,0,0,1,3,419,506,1768,0,2820,18025,75174,27882,0,0,0,0,434,1381,958
2021-04-28,45,0,0,0,0,11,27,7,349,410,1254,0,2865,18374,76428,28292,0,0,0,0,445,1408,965
2021-04-29,101,0,0,0,0,23,43,35,396,573,1426,0,2966,18770,77854,28865,0,0,0,0,468,1451,1000
2021-04-30,101,0,0,0,1,15,47,38,397,625,1483,0,3067,19167,79337,29490,0,0,0,1,483,1498,1038
2021-05-01,7,0,0,0,0,1,1,5,136,36,501,0,3074,19303,79838,29526,0,0,0,1,484,1499,1043
2021-05-02,0,0,0,0,0,0,0,0,104,2,611,0,3074,19407,80449,29528,0,0,0,1,484,1499,1043
2021-05-03,184,0,0,0,0,54,105,24,459,904,1629,0,3258,19866,82078,30432,0,0,0,1,538,1604,1067
2021-05-04,24,0,0,0,0,4,15,4,481,798,1787,0,3282,20347,83865,31230,0,0,0,1,542,1619,1071
2021-05-05,29,0,0,0,0,1,13,15,629,1227,2658,0,3311,20976,86523,32457,0,0,0,1,543,1632,1086
2021-05-06,24,0,0,0,0,4,11,8,551,875,2106,0,3335,21527,88629,33332,0,0,0,1,547,1643,1094
2021-05-07,53,0,0,0,0,27,18,8,459,678,1929,0,3388,21986,90558,34010,0,0,0,1,574,1661,1102
2021-05-08,9,0,0,0,0,0,7,2,193,76,965,0,3397,22179,91523,34086,0,0,0,1,574,1668,1104
2021-05-09,0,0,0,0,0,0,0,0,100,0,571,0,3397,22279,92094,34086,0,0,0,1,574,1668,1104
2021-05-10,90,0,0,0,0,27,46,17,606,674,2290,0,3487,22885,94384,34760,0,0,0,1,601,1714,1121
2021-05-11,104,0,0,0,0,19,53,32,619,948,2309,0,3591,23504,96693,35708,0,0,0,1,620,1767,1153
2021-05-12,35,0,0,0,0,7,25,3,485,637,1928,0,3626,23989,98621,36345,0,0,0,1,627,1792,1156
2021-05-13,61,0,0,0,0,11,41,8,421,629,1937,0,3687,24410,100558,36974,0,0,0,1,638,1833,1164
